Context,Response
"Context: hi, how are you doing?",Response: i'm fine. how about yourself?
Context: i'm fine. how about yourself?,Response: i'm pretty good. thanks for asking.
Context: i'm pretty good. thanks for asking.,Response: no problem. so how have you been?
Context: no problem. so how have you been?,Response: i've been great. what about you?
Context: i've been great. what about you?,Response: i've been good. i'm in school right now.
Context: i've been good. i'm in school right now.,Response: what school do you go to?
Context: what school do you go to?,Response: i go to pcc.
Context: i go to pcc.,Response: do you like it there?
Context: do you like it there?,Response: it's okay. it's a really big campus.
Context: it's okay. it's a really big campus.,Response: good luck with school.
Context: good luck with school.,Response: thank you very much.
Context: how's it going?,Response: i'm doing well. how about you?
Context: i'm doing well. how about you?,"Response: never better, thanks."
"Context: never better, thanks.",Response: so how have you been lately?
Context: so how have you been lately?,Response: i've actually been pretty good. you?
Context: i've actually been pretty good. you?,Response: i'm actually in school right now.
Context: i'm actually in school right now.,Response: which school do you attend?
Context: which school do you attend?,Response: i'm attending pcc right now.
Context: i'm attending pcc right now.,Response: are you enjoying it there?
Context: are you enjoying it there?,Response: it's not bad. there are a lot of people there.
Context: it's not bad. there are a lot of people there.,Response: good luck with that.
Context: good luck with that.,Response: thanks.
Context: how are you doing today?,Response: i'm doing great. what about you?
Context: i'm doing great. what about you?,"Response: i'm absolutely lovely, thank you."
"Context: i'm absolutely lovely, thank you.",Response: everything's been good with you?
Context: everything's been good with you?,Response: i haven't been better. how about yourself?
Context: i haven't been better. how about yourself?,Response: i started school recently.
Context: i started school recently.,Response: where are you going to school?
Context: where are you going to school?,Response: i'm going to pcc.
Context: i'm going to pcc.,Response: how do you like it so far?
Context: how do you like it so far?,Response: i like it so far. my classes are pretty good right now.
Context: i like it so far. my classes are pretty good right now.,Response: i wish you luck.
Context: it's an ugly day today.,Response: i know. i think it may rain.
Context: i know. i think it may rain.,"Response: it's the middle of summer, it shouldn't rain today."
"Context: it's the middle of summer, it shouldn't rain today.",Response: that would be weird.
Context: that would be weird.,"Response: yeah, especially since it's ninety degrees outside."
"Context: yeah, especially since it's ninety degrees outside.","Response: i know, it would be horrible if it rained and it was hot outside."
"Context: i know, it would be horrible if it rained and it was hot outside.","Response: yes, it would be. "
"Context: yes, it would be. ",Response: i really wish it wasn't so hot every day. 
Context: i really wish it wasn't so hot every day. ,Response: me too. i can't wait until winter.
Context: me too. i can't wait until winter.,"Response: i like winter too, but sometimes it gets too cold."
"Context: i like winter too, but sometimes it gets too cold.",Response: i'd rather be cold than hot.
Context: i'd rather be cold than hot.,Response: me too.
Context: it doesn't look very nice outside today.,Response: you're right. i think it's going to rain later.
Context: you're right. i think it's going to rain later.,"Response: in the middle of the summer, it shouldn't be raining."
"Context: in the middle of the summer, it shouldn't be raining.",Response: that wouldn't seem right.
Context: that wouldn't seem right.,"Response: considering that it's over ninety degrees outside, that would be weird."
"Context: considering that it's over ninety degrees outside, that would be weird.","Response: exactly, it wouldn't be nice if it started raining. it's too hot."
"Context: exactly, it wouldn't be nice if it started raining. it's too hot.","Response: i know, you're absolutely right."
"Context: i know, you're absolutely right.",Response: i wish it would cool off one day.
